state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
411755,72,-390,-8288,-15,-43,41,327,-1,-3,1,0,188,-26,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411717,0
411765,68,-392,-8306,-16,-39,36,327,-3,2,1,0,190,-47,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411717,0
411775,76,-406,-8290,-12,-32,44,328,-6,0,3,0,187,-47,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411717,0
411785,90,-406,-8296,-13,-38,37,328,-1,-4,0,0,183,-55,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,411721,0
411795,110,-382,-8306,-17,-37,41,328,-5,-1,1,0,181,-44,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411725,0
411805,116,-356,-8310,-17,-43,41,328,-3,-1,0,0,182,-26,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411725,0
411815,94,-380,-8282,-18,-41,35,328,-2,-1,2,0,186,-3,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411725,0
411825,72,-358,-8298,-17,-36,42,328,5,2,0,0,182,9,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411725,0
411835,100,-352,-8302,-20,-34,39,327,-9,2,-1,0,184,12,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411730,0
411845,94,-376,-8326,-18,-38,39,328,3,-3,1,0,183,-26,26,144,0,6,0,0,0,0,0,0,-32331,0,0,0,2935,0,411758,0
411855,82,-382,-8304,-16,-45,41,329,1,6,3,0,185,-52,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411761,0
411865,86,-382,-8312,-20,-39,37,328,4,0,0,0,182,-93,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411766,0
411875,84,-366,-8298,-18,-42,39,329,1,0,3,0,180,-84,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411768,0
411885,110,-372,-8310,-24,-34,39,328,3,-2,0,0,183,-69,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,411781,0
411895,98,-414,-8306,-19,-34,41,328,10,2,-1,0,182,-79,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411784,0
411905,94,-370,-8232,-10,-40,42,327,1,2,1,0,185,-89,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411796,0
411915,128,-368,-8342,-18,-37,40,329,0,3,-3,0,186,-99,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,411804,0
411925,58,-398,-8286,-11,-43,45,328,-1,0,-1,0,182,-82,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411813,0
411935,88,-384,-8312,-15,-45,36,330,9,11,-1,0,184,-65,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411827,0
411945,56,-380,-8306,-13,-43,38,329,9,1,-4,0,183,-78,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411838,0
411955,58,-346,-8298,-23,-38,44,327,-1,2,3,0,185,-59,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411844,0
411965,98,-354,-8298,-13,-35,39,328,-4,3,-1,0,185,-66,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411865,0
411975,96,-374,-8298,-17,-37,42,328,0,-4,-1,0,183,-9,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2933,0,411872,0
411985,92,-390,-8302,-19,-37,41,328,-7,0,-1,0,186,5,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411875,0
411995,98,-350,-8300,-14,-37,37,327,-5,-5,-1,0,185,11,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411886,0
412005,100,-362,-8300,-18,-45,43,329,3,3,2,0,177,-17,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411896,0
412015,86,-356,-8292,-17,-38,37,328,0,3,1,0,175,-43,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411912,0
412025,58,-386,-8302,-18,-42,40,328,0,-1,1,0,176,-44,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411917,0
412035,52,-382,-8276,-17,-44,47,329,6,2,1,0,178,-60,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2936,0,411942,0
412045,72,-390,-8294,-17,-39,43,328,2,6,0,0,179,-45,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411947,0
412055,92,-390,-8306,-15,-38,37,327,1,-2,-1,0,178,-25,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411950,0
412065,94,-374,-8308,-18,-37,36,327,-3,2,-1,0,182,-15,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411953,0
412075,104,-368,-8306,-18,-39,41,328,4,-4,0,0,182,-17,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411971,0
412085,88,-390,-8304,-19,-40,37,329,12,4,-3,0,184,-46,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,411983,0
412095,78,-368,-8296,-14,-44,38,328,-4,7,1,0,182,-47,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,411986,0
412105,72,-394,-8254,-15,-38,43,328,-2,0,-1,0,182,-82,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412009,0
412115,96,-396,-8332,-16,-37,42,327,-1,-2,-1,0,180,-81,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412017,0
412125,100,-370,-8310,-15,-43,39,328,1,-4,1,0,178,-72,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412024,0
412135,106,-398,-8346,-18,-42,38,329,4,0,-2,0,176,-85,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,412030,0
412145,66,-360,-8292,-17,-41,44,327,3,-4,0,0,177,-67,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2936,0,412053,0
412155,76,-386,-8274,-19,-37,41,327,-1,-1,5,0,180,-26,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412055,0
412165,84,-368,-8312,-16,-45,43,328,1,2,0,0,181,-18,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,412061,0
412175,116,-358,-8298,-13,-39,38,329,2,5,-1,0,182,-10,26,144,0,6,0,0,0,0,0,0,-32327,0,0,0,2935,0,412066,0
412185,120,-362,-8310,-17,-40,40,328,3,-1,0,0,182,-33,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412077,0
412195,102,-382,-8284,-15,-34,41,328,-4,-1,4,0,183,-39,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412107,0
412205,96,-388,-8298,-17,-41,41,328,3,4,2,0,181,-58,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412111,0
412215,62,-366,-8292,-14,-37,39,327,1,3,-2,0,180,-59,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412113,0
412225,82,-378,-8304,-16,-42,44,327,-4,1,1,0,179,-52,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412122,0
412235,80,-374,-8286,-17,-35,38,328,-3,-4,0,0,182,-29,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412127,0
412245,64,-382,-8296,-17,-42,42,328,-4,-1,1,0,181,-52,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412144,0
412255,70,-378,-8278,-18,-41,39,328,-4,-2,0,0,185,-58,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412152,0
412265,80,-372,-8322,-20,-39,40,327,0,-2,-1,0,181,-31,26,144,0,6,0,0,0,0,0,0,-32331,0,0,0,2934,0,412157,0
412275,80,-396,-8298,-20,-37,45,327,0,0,-1,0,180,-15,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412183,0
