State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 413643,-406,70,8168,-19,15,24,9823,-1,-4,5168,0,170,-36,4877,0,-1,0,0,-1,400,56.0,5563.0,81.73,81.28,-1,
 413663,-414,54,8160,-15,18,26,9821,0,0,5176,1,174,-34,4878,0,-1,0,0,-1,400,56.0,5580.0,81.73,81.28,-1,
 413683,-428,66,8172,-21,13,28,9821,-1,-3,5160,0,170,-53,4878,0,-1,0,0,-1,400,56.0,5596.0,81.73,81.28,-1,
 413693,-394,48,8146,-15,12,27,9821,-5,-1,5176,0,173,-35,4878,0,-1,0,0,-1,400,56.0,5613.0,81.73,81.28,-1,
 413703,-428,66,8154,-14,15,29,9821,2,0,5168,6,174,2,4878,0,-1,0,0,-1,400,56.0,5629.0,81.73,81.28,-1,
 413733,-414,30,8164,-19,10,27,9821,-3,-3,5176,4,173,-18,4879,0,-1,0,0,-1,400,56.0,5645.0,81.73,81.28,-1,
 413753,-414,42,8172,-17,14,27,9821,0,1,5168,2,171,-18,4878,0,-1,0,0,-1,400,56.0,5663.0,81.73,81.28,-1,
 413763,-406,72,8168,-17,12,25,9821,2,-2,5168,3,168,-40,4879,0,-1,0,0,-1,400,56.0,5679.0,81.73,81.17,-1,
 413783,-428,56,8190,-19,17,25,9821,-4,3,5160,5,172,-15,4879,0,-1,0,0,-1,400,56.0,5696.0,81.73,81.28,-1,
 413793,-392,76,8164,-11,14,27,9822,0,5,5176,0,170,-5,4878,0,-1,0,0,-1,400,56.0,5712.0,81.73,81.17,-1,
 413823,-438,66,8158,-17,11,27,9821,0,-2,5176,-1,179,-14,4879,0,-1,0,0,-1,400,56.0,5728.0,81.73,81.06,-1,
 413843,-462,42,8160,-12,22,27,9821,-7,-1,5168,3,178,4,4878,0,-1,0,0,-1,400,56.0,5762.0,81.73,81.17,-1,
 413853,-414,62,8174,-14,12,29,9822,-3,-1,5176,4,171,-36,4878,0,-1,0,0,-1,400,56.0,5779.0,81.73,81.17,-1,
 413863,-440,46,8166,-14,16,25,9820,-2,-2,5168,2,174,-45,4879,0,-1,0,0,-1,400,56.0,5795.0,81.73,81.17,-1,
 413873,-406,54,8154,-16,21,26,9821,-1,1,5168,1,176,-49,4878,0,-1,0,0,-1,400,56.0,5811.0,81.73,81.06,-1,
 413883,-400,60,8158,-10,12,30,9821,7,-3,5168,6,180,-30,4879,0,-1,0,0,-1,400,56.0,5811.0,81.73,81.06,-1,
 413903,-428,74,8180,-17,17,25,9821,-3,-1,5168,4,178,-36,4878,0,-1,0,0,-1,400,56.0,5828.0,81.73,81.17,-1,
 413913,-410,60,8154,-17,19,27,9822,-1,2,5168,0,180,1,4878,0,-1,0,0,-1,400,56.0,5845.0,81.73,81.06,-1,
 413933,-410,50,8172,-18,13,26,9821,-2,-3,5168,1,178,48,4878,0,-1,0,0,-1,400,56.0,5861.0,81.73,81.17,-1,
 413963,-430,68,8164,-18,16,26,9820,-8,0,5168,0,172,-22,4878,0,-1,0,0,-1,400,56.0,5878.0,81.61,81.06,-1,
 413973,-430,46,8174,-15,15,24,9822,1,4,5176,5,171,-46,4879,0,-1,0,0,-1,400,56.0,5894.0,81.73,81.17,-1,
 413983,-410,54,8154,-20,13,28,9822,3,1,5168,1,169,-51,4878,0,-1,0,0,-1,400,56.0,5911.0,81.61,81.06,-1,
 414003,-410,68,8164,-12,10,29,9821,0,-4,5168,6,175,-15,4879,0,-1,0,0,-1,400,56.0,5928.0,81.61,81.17,-1,
 414033,-414,62,8164,-15,18,22,9822,4,-1,5168,5,177,2,4878,0,-1,0,0,-1,400,56.0,5944.0,81.61,81.17,-1,
 414043,-426,74,8144,-19,16,26,9821,0,-3,5160,3,175,-3,4879,0,-1,0,0,-1,400,56.0,5961.0,81.73,81.06,-1,
 414053,-440,62,8152,-19,20,28,9821,1,0,5176,5,178,29,4878,0,-1,0,0,-1,400,56.0,6010.0,81.61,81.17,-1,
 414073,-418,66,8152,-16,13,25,9822,0,2,5168,2,173,16,4878,0,-1,0,0,-1,400,56.0,6027.0,81.61,81.17,-1,
 414103,-428,68,8160,-16,17,31,9821,-1,-1,5176,3,180,20,4878,0,-1,0,0,-1,400,56.0,6044.0,81.61,81.06,-1,
 414123,-444,58,8164,-16,12,26,9822,4,2,5168,3,173,-30,4878,0,-1,0,0,-1,400,56.0,6060.0,81.73,81.17,-1,
 414163,-436,70,8160,-17,13,25,9822,0,-1,5160,1,170,-50,4878,0,-1,0,0,-1,400,56.0,6077.0,81.73,81.17,-1,
 414183,-434,44,8160,-21,14,21,9821,-4,1,5160,4,181,-17,4878,0,-1,0,0,-1,400,56.0,6093.0,81.73,81.17,-1,
 414193,-426,50,8162,-18,16,29,9819,-8,0,5168,4,179,-7,4879,0,-1,0,0,-1,400,56.0,6110.0,81.73,81.06,-1,
