State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 416335,90,-364,-8308,-13,-28,41,329,6,2,5168,0,182,-29,2935,0,-1,0,0,-1,400,56.0,6044.0,80.84,82.29,-1,
 416355,92,-378,-8314,-20,-46,39,328,2,2,5168,2,179,-20,2935,0,-1,0,0,-1,400,56.0,6060.0,80.84,82.29,-1,
 416385,88,-380,-8316,-18,-32,39,328,-3,-2,5168,1,180,-50,2935,0,-1,0,0,-1,400,56.0,6110.0,80.73,82.29,-1,
 416415,86,-392,-8320,-24,-47,39,327,-2,1,5168,-3,182,-28,2935,0,-1,0,0,-1,400,56.0,6127.0,80.73,82.29,-1,
 416445,104,-364,-8300,-19,-22,40,327,0,0,5168,-4,181,-48,2935,0,-1,0,0,-1,400,56.0,6143.0,80.73,82.29,-1,
 416455,82,-366,-8300,-13,-27,37,328,2,1,5168,1,181,-66,2935,0,-1,0,0,-1,400,56.0,6159.0,80.73,82.29,-1,
 416475,96,-380,-8276,-17,-45,41,328,-7,5,5168,0,183,-55,2935,0,-1,0,0,-1,400,56.0,6176.0,80.84,82.29,-1,
 416495,84,-394,-8300,-14,-45,39,327,-2,-3,5160,-2,173,-87,2935,0,-1,0,0,-1,400,56.0,6192.0,80.84,82.29,-1,
 416505,86,-350,-8300,-16,-31,42,327,1,-4,5168,-1,180,-69,2934,0,-1,0,0,-1,400,56.0,6210.0,80.73,82.29,-1,
 416525,88,-366,-8294,-18,-31,41,327,-5,2,5168,0,185,-55,2934,0,-1,0,0,-1,400,56.0,6226.0,80.73,82.29,-1,
 416535,88,-362,-8294,-15,-38,41,327,-5,-1,5168,-1,181,-78,2935,0,-1,0,0,-1,400,56.0,6242.0,80.73,82.29,-1,
 416545,106,-378,-8302,-15,-49,40,327,-8,2,5168,-1,181,-79,2934,0,-1,0,0,-1,400,56.0,6259.0,80.73,82.29,-1,
 416565,118,-396,-8292,-20,-37,41,329,1,0,5168,-1,177,-79,2934,0,-1,0,0,-1,400,56.0,6275.0,80.73,82.29,-1,
 416595,80,-382,-8296,-14,-41,40,328,0,-3,5168,0,181,-10,2934,0,-1,0,0,-1,400,56.0,6293.0,80.73,82.29,-1,
 416605,60,-366,-8312,-15,-35,39,327,2,1,5160,-2,181,-16,2935,0,-1,0,0,-1,400,56.0,6309.0,80.73,82.29,-1,
 416615,100,-382,-8310,-16,-32,38,328,-5,-2,5160,0,175,-36,2935,0,-1,0,0,-1,400,56.0,6342.0,80.73,82.18,-1,
 416635,92,-360,-8286,-21,-41,39,327,-7,-4,5168,0,181,-59,2935,0,-1,0,0,-1,400,56.0,6358.0,80.73,82.18,-1,
 416655,100,-382,-8264,-15,-49,39,329,5,-3,5168,3,181,-65,2936,0,-1,0,0,-1,400,56.0,6374.0,80.84,82.18,-1,
 416665,88,-394,-8316,-20,-40,40,328,-1,-4,5160,-1,179,-77,2935,0,-1,0,0,-1,400,56.0,6392.0,80.84,82.18,-1,
 416685,90,-378,-8294,-18,-41,40,329,-2,-4,5168,0,182,-77,2935,0,-1,0,0,-1,400,56.0,6408.0,80.84,82.18,-1,
 416705,88,-398,-8288,-17,-40,39,326,-7,-3,5168,2,180,-67,2935,0,-1,0,0,-1,400,56.0,6425.0,80.84,82.18,-1,
 416715,78,-398,-8310,-14,-39,43,327,-3,-4,5168,-5,179,-72,2935,0,-1,0,0,-1,400,56.0,6441.0,80.84,82.18,-1,
 416745,80,-402,-8304,-17,-37,41,328,3,2,5168,1,178,-70,2935,0,-1,0,0,-1,400,56.0,6457.0,80.84,82.18,-1,
 416765,112,-346,-8298,-10,-33,36,328,-1,0,5168,-3,184,-54,2934,0,-1,0,0,-1,400,56.0,6475.0,80.84,82.18,-1,
 416785,90,-404,-8306,-16,-30,44,327,-8,-6,5168,0,177,-68,2935,0,-1,0,0,-1,400,56.0,6491.0,80.95,82.18,-1,
 416805,92,-370,-8294,-19,-76,43,328,3,-1,5168,0,180,-79,2935,0,-1,0,0,-1,400,56.0,6508.0,80.95,82.29,-1,
 416825,68,-364,-8308,-15,-37,38,328,8,3,5168,0,183,-24,2934,0,-1,0,0,-1,400,56.0,6524.0,81.06,82.18,-1,
 416845,92,-374,-8300,-18,-16,41,328,1,0,5168,-1,185,8,2935,0,-1,0,0,-1,400,56.0,6540.0,81.06,82.18,-1,
 416865,110,-366,-8302,-23,-62,38,328,-5,1,5152,0,184,-42,2935,0,-1,0,0,-1,400,56.0,6574.0,81.28,82.29,-1,
 416885,60,-370,-8300,-16,-37,41,328,3,2,5160,-3,186,-48,2934,0,-1,0,0,-1,400,56.0,6640.0,81.17,82.29,-1,
 416905,72,-372,-8296,-8,3,36,327,-3,2,5160,-1,180,-49,2935,0,-1,0,0,-1,400,56.0,6657.0,81.17,82.29,-1,
 416955,84,-360,-8266,-10,-45,43,328,-3,1,5168,0,181,-56,2935,0,-1,0,0,-1,400,56.0,6673.0,81.17,82.29,-1,
 416965,60,-384,-8278,-17,-35,42,327,-1,-2,5160,-3,175,-86,2935,0,-1,0,0,-1,400,56.0,6690.0,81.06,82.18,-1,
 416975,104,-406,-8280,-17,-28,43,327,-1,-1,5168,-1,177,-112,2935,0,-1,0,0,-1,400,56.0,6706.0,81.06,82.18,-1,
 416985,112,-390,-8300,-14,-21,39,328,0,1,5168,0,176,-111,2935,0,-1,0,0,-1,400,56.0,6723.0,81.17,82.18,-1,
 416995,82,-392,-8262,-13,-30,39,329,3,1,5168,-2,178,-120,2936,0,-1,0,0,-1,400,56.0,6740.0,81.17,82.18,-1,
 417025,92,-410,-8284,-21,-70,39,328,0,2,5168,0,180,-74,2934,0,-1,0,0,-1,400,56.0,6756.0,81.17,82.18,-1,
 417055,90,-398,-8292,-18,-48,38,328,0,0,5168,1,179,-29,2935,0,-1,0,0,-1,400,56.0,6773.0,81.06,82.18,-1,
 417075,88,-378,-8300,-19,-39,38,328,1,-1,5168,-3,180,-77,2935,0,-1,0,0,-1,400,56.0,6806.0,81.06,82.18,-1,
 417115,100,-356,-8282,-16,-38,43,327,-6,-7,5168,-1,189,4,2935,0,-1,0,0,-1,400,56.0,6822.0,81.06,82.29,-1,
 417145,94,-376,-8298,-14,-43,43,327,0,-3,5168,-5,182,-28,2935,0,-1,0,0,-1,400,56.0,6839.0,81.06,82.18,-1,
